File Name,Date Created,Bioregions Extract Used,MarESA Extract Used,Resistance Aggregation Used,Resilience Aggregation Used
OffshoreResAgg_20200701_Bioreg20200518_MarESA20200701.csv,20200701.0,Bioreg20200518,MarESA20200701,Not Applicable,Not Applicable
OffshoreResilAgg_20200701_Bioreg20200518_MarESA20200701.csv,20200701.0,Bioreg20200518,MarESA20200701,Not Applicable,Not Applicable
BH3_OffshoreSensitivityCalculation_20200701_ResAggMarESA20200701_ResilAggMarESA20200701.csv,20200701.0,Not Applicable,Not Applicable,ResAggMarESA20200701,ResilAggMarESA20200701
FeatureLevelAggregation_20200610.csv,20200610.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
README.txt,,,,,
OffshoreSensAgg_20201109_Bioreg20201105_MarESA20201109.csv,20201109.0,Bioreg20201105,MarESA20201109,Not Applicable,Not Applicable
OffshoreResAgg_20201109_Bioreg20201105_MarESA20201109.csv,20201109.0,Bioreg20201105,MarESA20201109,Not Applicable,Not Applicable
OffshoreResilAgg_20201109_Bioreg20201105_MarESA20201109.csv,20201109.0,Bioreg20201105,MarESA20201109,Not Applicable,Not Applicable
BH3_OffshoreSensitivityCalculation_20201109_ResAggMarESA20201109_ResilAggMarESA20201109.csv,20201109.0,Not Applicable,Not Applicable,ResAggMarESA20201109,ResilAggMarESA20201109
OffshoreSensAgg_20210113_Bioreg20201105_MarESA20201112.csv,20210113.0,Bioreg20201105,MarESA20201112,Not Applicable,Not Applicable
OffshoreResAgg_20210113_Bioreg20201105_MarESA20201112.csv,20210113.0,Bioreg20201105,MarESA20201112,Not Applicable,Not Applicable
OffshoreResilAgg_20210113_Bioreg20201105_MarESA20201112.csv,20210113.0,Bioreg20201105,MarESA20201112,Not Applicable,Not Applicable
DeepSeabed_Sens_Agg_20210113.csv,20210113.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DeepSeabed_Resil_Agg_20210113.csv,20210113.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MCZ_Wales_In_BSH_Sens_agg_20210113.csv,20210113.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
BH3_OffSens_20210113_ResAggMarESA20201112_ResilAggMarESA20201112.csv,20210113.0,Not Applicable,Not Applicable,ResAggMarESA20201112,ResilAggMarESA20201112
MCZ_Off_FOCI_Sens_Agg_20210113.csv,20210113.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MCZ_Off_FOCI_Resil_Agg_20210113.csv,20210113.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MCZ_Wales_In_FOCI_SensAgg_20210113.csv,20210113.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AnxI_EngWales_Off_Sens_Agg_20210113.csv,20210113.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AnxI_EngWales_Off_Resil_Agg_20210113.csv,20210113.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AnxI_Scot_In&Off_Sens_Agg_20210113.csv,20210113.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MCZ_Wales_In_FOCI_SensAgg_20210115.csv,20210115.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OffshoreSensAgg_20210802_Bioreg20210802_marESA20210702.csv,20210802,Bioreg20210802,marESA20210702,Not Applicable,Not Applicable
OffshoreResAgg_20210802_Bioreg20210802_marESA20210702.csv,20210802,Bioreg20210802,marESA20210702,Not Applicable,Not Applicable
OffshoreResilAgg_20210802_Bioreg20210802_marESA20210702.csv,20210802,Bioreg20210802,marESA20210702,Not Applicable,Not Applicable
DeepSeabed_Sens_Agg_20210802_marESA20210702.csv,20210802,Not Applicable,marESA20210702,Not Applicable,Not Applicable
DeepSeabed_Resil_Agg_20210802_marESA20210702.csv,20210802,Not Applicable,marESA20210702,Not Applicable,Not Applicable
MCZ_Wales_In_BSH_Sens_Agg_20210802_marESA20210702.csv,20210802,Not Applicable,marESA20210702,Not Applicable,Not Applicable
BH3_OffSens_20210802_ResAgg20210802_ResilAgg20210802.csv,20210802,Not Applicable,Not Applicable,ResAgg20210802,ResilAgg20210802
MCZ_Off_FOCI_Sens_Agg_20210802_marESA20210702.csv,20210802,Not Applicable,marESA20210702,Not Applicable,Not Applicable
MCZ_Off_FOCI_Resil_Agg_20210802_marESA20210702.csv,20210802,Not Applicable,marESA20210702,Not Applicable,Not Applicable
MCZ_Wales_In_FOCI_SensAgg_20210802_marESA20210702.csv,20210802,Not Applicable,marESA20210702,Not Applicable,Not Applicable
AnxI_EngWales_Off_Sens_Agg_20210802_marESA20210702.csv,20210802,Not Applicable,marESA20210702,Not Applicable,Not Applicable
AnxI_EngWales_Off_Resil_Agg_20210802_marESA20210702.csv,20210802,Not Applicable,marESA20210702,Not Applicable,Not Applicable
AnxI_Scot_In&Off_Sens_Agg_20210802_marESA20210702.csv,20210802,Not Applicable,marESA20210702,Not Applicable,Not Applicable
AnxI_Scot_Off_Sens_Agg_20210802_marESA20210702.csv,20210802,Not Applicable,marESA20210702,Not Applicable,Not Applicable
PMF_Off_Sens_Agg_20210802_marESA20210702.csv,20210802,Not Applicable,marESA20210702,Not Applicable,Not Applicable
